CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Giro;CASA;687.139.035;701.927.984;720.870.343;630.154.566;645.103.894;741.673.614;695.918.757;635.572.252;1.643.368.929
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Tabungan;CASA;24.768.039.200;25.163.855.574;25.226.286.029;25.150.728.705;25.277.634.923;24.787.116.608;25.089.494.360;24.211.193.898;22.071.400.171
482 - MEDAN BARU;252 - KCP KISARAN;Deposito;TD;21.637.377.399;22.133.567.788;20.133.616.837;20.593.596.316;20.982.000.000;19.198.450.000;18.581.000.000;19.612.000.000;19.658.056.000
482 - MEDAN BARU;252 - KCP KISARAN;Giro;CASA;4.762.229.147;5.955.430.299;4.547.716.085;3.317.099.515;3.438.997.894;3.639.789.170;3.736.295.970;1.934.043.296;1.329.294.422
482 - MEDAN BARU;252 - KCP KISARAN;Tabungan;CASA;25.613.977.824;23.701.229.893;24.800.468.892;25.208.839.371;26.802.401.960;27.007.950.463;28.115.207.018;27.329.710.616;27.804.389.983
482 - MEDAN BARU;467 - KCP STABAT;Deposito;TD;6.801.447.563;6.649.841.021;7.375.484.819;8.637.610.644;8.837.791.637;7.771.364.576;7.568.747.746;6.498.039.932;7.493.127.696
482 - MEDAN BARU;467 - KCP STABAT;Giro;CASA;5.572.417;5.767.417;25.357.418;6.157.418;6.082.419;6.499.920;6.714.920;6.959.921;31.969.921
482 - MEDAN BARU;467 - KCP STABAT;Tabungan;CASA;19.952.364.771;18.456.938.809;18.550.920.108;18.502.000.811;19.859.100.788;19.025.948.339;20.055.882.594;21.305.407.891;19.353.943.650
482 - MEDAN BARU;482 - MEDAN BARU;Deposito;TD;60.275.146.737;45.291.996.749;58.529.432.019;59.008.361.945;58.685.171.350;59.517.304.957;60.182.351.444;61.435.133.224;62.074.615.878
482 - MEDAN BARU;482 - MEDAN BARU;Giro;CASA;15.503.859.884;23.088.818.389;15.956.432.203;15.127.439.101;11.085.004.211;15.593.169.976;15.607.808.678;15.170.844.205;15.974.050.606
482 - MEDAN BARU;482 - MEDAN BARU;Tabungan;CASA;56.459.955.136;64.609.054.163;50.862.195.361;49.584.606.177;49.706.198.804;51.978.852.032;48.111.597.319;48.053.584.609;47.910.240.703
